#Organism Name,Organism Groups,Strain,BioSample,BioProject,Level,Size(Mb),CDS,Genes,Host,RefSeq category,tRNA
"Desulfofundulus kuznetsovii DSM 6115","Bacteria;Terrabacteria group;Firmicutes","DSM 6115","SAMN00713629","PRJNA48313","Complete",3.60139,3398,3630,,,46
"Methylomonas methanica MC09","Bacteria;Proteobacteria;Gammaproteobacteria","MC09","SAMN00713628","PRJNA53917","Complete",5.05168,4467,4617,,"representative",46
"Methanobacterium paludis","Archaea;Euryarchaeota;Methanomada group","SWAN1","SAMN00713630","PRJNA53561","Complete",2.54654,2367,2445,,"representative",46
"Mycolicibacter sinensis","Bacteria;Terrabacteria group;Actinobacteria","JDM601","SAMN02603865","PRJNA51513","Complete",4.64367,4259,4413,,"representative",46
"Treponema azotonutricium ZAS-9","Bacteria;Spirochaetes;Spirochaetia","ZAS-9","SAMN02603453","PRJNA30191","Complete",3.85567,3345,3468,,"representative",46
"Treponema primitia ZAS-2","Bacteria;Spirochaetes;Spirochaetia","ZAS-2","SAMN02603452","PRJNA30189","Complete",4.05987,3450,3558,,"representative",51
"Thiomicrospira cyclica ALM1","Bacteria;Proteobacteria;Gammaproteobacteria","ALM1","SAMN02232061","PRJNA52629","Complete",1.93246,1661,1718,,"representative",41
"Isoptericola variabilis 225","Bacteria;Terrabacteria group;Actinobacteria","225","SAMN00713634","PRJNA49657","Complete",3.30774,2916,3065,,"representative",49
"Desulfotomaculum ruminis DSM 2154","Bacteria;Terrabacteria group;Firmicutes","DSM 2154","SAMN00713633","PRJNA47605","Complete",3.96901,3753,3942,,"representative",64
"Sphingobium chlorophenolicum L-1","Bacteria;Proteobacteria;Alphaproteobacteria","L-1","SAMN00016829","PRJNA50015","Complete",4.57322,4029,4223,,"representative",57
"Mageeibacillus indolicus UPII9-5","Bacteria;Terrabacteria group;Firmicutes","UPII9-5","SAMN00006219","PRJNA42555","Complete",1.80975,1455,1565,,"representative",45
"Lactobacillus kefiranofaciens ZW3","Bacteria;Terrabacteria group;Firmicutes","ZW3","SAMN02603965","PRJNA66525","Complete",2.35409,2014,2336,,"representative",61
"Methanothermococcus okinawensis IH1","Archaea;Euryarchaeota;Methanomada group","IH1","SAMN00100784","PRJNA43653","Complete",1.67745,1576,1681,,"representative",37
"Vibrio anguillarum 775","Bacteria;Proteobacteria;Gammaproteobacteria","775","SAMN02603689","PRJNA51883","Complete",4.05205,3426,3725,,"representative",86
"Frankia symbiont of Datisca glomerata","Bacteria;Terrabacteria group;Actinobacteria","4085684","SAMN00713636","PRJNA39113","Complete",5.34099,4144,4534,,"representative",45
"Halopiger xanaduensis SH-6","Archaea;Euryarchaeota;Stenosarchaea group","SH-6","SAMN02232028","PRJNA56049","Complete",4.35527,4087,4239,,"representative",49
"Klebsiella aerogenes KCTC 2190","Bacteria;Proteobacteria;Gammaproteobacteria","KCTC 2190","SAMN02603581","PRJNA66537","Complete",5.28035,4912,5021,"human","reference",84
"Corynebacterium resistens DSM 45100","Bacteria;Terrabacteria group;Actinobacteria","DSM 45100","SAMN02603065","PRJNA39683","Complete",2.60131,2139,2269,"human","representative",51
"Flexistipes sinusarabici DSM 4947","Bacteria;Deferribacteres;Deferribacteres","DSM 4947","SAMN02232022","PRJNA45817","Complete",2.52659,2293,2398,,"representative",44
"Cellulomonas gilvus ATCC 13127","Bacteria;Terrabacteria group;Actinobacteria","ATCC 13127","SAMN02232005","PRJNA33853","Complete",3.52644,3137,3222,,"representative",45
"Lacinutrix sp. 5H-3-7-4","Bacteria;FCB group;Bacteroidetes/Chlorobi group","5H-3-7-4","SAMN00713635","PRJNA62899","Complete",3.29617,2931,2993,,,36
"Methanosalsum zhilinae DSM 4017","Archaea;Euryarchaeota;Stenosarchaea group","DSM 4017","SAMN02232039","PRJNA40771","Complete",2.13844,1955,2048,,"representative",46
"Mesorhizobium opportunistum WSM2075","Bacteria;Proteobacteria;Alphaproteobacteria","WSM2075","SAMN02232036","PRJNA33861","Complete",6.88444,6514,6779,,,53
"Ramlibacter tataouinensis TTB310","Bacteria;Proteobacteria;Betaproteobacteria","TTB310","SAMN02603053","PRJNA16294","Complete",4.07019,3845,3960,,"representative",43
"Streptococcus parasanguinis ATCC 15912","Bacteria;Terrabacteria group;Firmicutes","ATCC 15912","SAMN00113608","PRJNA48315","Complete",2.15365,1953,2084,,"representative",61
"Francisella sp. TX077308","Bacteria;Proteobacteria;Gammaproteobacteria","TX077308","SAMN02603541","PRJNA67139","Complete",2.03593,1884,1987,,,39
"Granulicella tundricola MP5ACTX9","Bacteria;Acidobacteria;Acidobacteriia","MP5ACTX9","SAMN00013395","PRJNA47621","Complete",5.50398,4601,4757,,"representative",46
"Runella slithyformis DSM 19594","Bacteria;FCB group;Bacteroidetes/Chlorobi group","DSM 19594","SAMN02232050","PRJNA49125","Complete",6.91973,5744,5869,,"representative",42
"Myxococcus fulvus HW-1","Bacteria;Proteobacteria;delta/epsilon subdivisions","HW-1","SAMN02603152","PRJNA27837","Complete",9.00359,6929,7330,,"representative",68
"Treponema paraluiscuniculi Cuniculi A","Bacteria;Spirochaetes;Spirochaetia","Cuniculi A","SAMN02603006","PRJNA30657","Complete",1.13339,976,1062,,,45
"Zymomonas mobilis subsp. pomaceae ATCC 29192","Bacteria;Proteobacteria;Alphaproteobacteria","ATCC 29192","SAMN02232067","PRJNA34927","Complete",2.06141,1748,1840,,"representative",51
"Pseudothermotoga thermarum DSM 5069","Bacteria;Thermotogae;Thermotogae","DSM 5069","SAMN02232059","PRJNA41517","Complete",2.03994,1966,2069,,"representative",46
"Thermodesulfobacterium geofontis OPF15","Bacteria;Thermodesulfobacteria;Thermodesulfobacteria","OPF15","SAMN02232058","PRJNA67515","Complete",1.63438,1617,1688,,"representative",46
"Pyrococcus yayanosii CH1","Archaea;Euryarchaeota;Thermococci","CH1","SAMN02603867","PRJNA66055","Complete",1.71682,1786,1906,,"representative",46
"Thermodesulfatator indicus DSM 15286","Bacteria;Thermodesulfobacteria;Thermodesulfobacteria","DSM 15286","SAMN02232057","PRJNA40057","Complete",2.32222,2226,2307,,"representative",49
"Ethanoligenens harbinense YUAN-3","Bacteria;Terrabacteria group;Firmicutes","YUAN-3","SAMN00008641","PRJNA39729","Complete",3.00858,2758,2879,,"representative",60
"Oligotropha carboxidovorans OM5","Bacteria;Proteobacteria;Alphaproteobacteria","OM5","SAMN02603254","PRJNA41025","Complete",3.89607,3687,3765,,"representative",49
"Candidatus Tremblaya princeps PCIT","Bacteria;Proteobacteria;Betaproteobacteria","PCIT","SAMN02604228","PRJNA53211","Complete",0.138927,179,193,,,9
"Candidatus Moranella endobia PCIT","Bacteria;Proteobacteria;Gammaproteobacteria","PCIT","SAMN02604229","PRJNA53213","Complete",0.538294,412,480,,,41
"Leuconostoc sp. C2","Bacteria;Terrabacteria group;Firmicutes","C2","SAMN02603135","PRJNA67911","Complete",1.87727,1787,1893,,,67
"Sulfobacillus acidophilus TPY","Bacteria;Terrabacteria group;Firmicutes","TPY","SAMN02603016","PRJNA68423","Complete",3.55121,3754,3837,,,52
"Treponema caldarium DSM 7334","Bacteria;Spirochaetes;Spirochaetia","DSM 7334","SAMN02232064","PRJNA46527","Complete",3.23934,2828,2923,,"representative",48
"Agrobacterium sp. H13-3","Bacteria;Proteobacteria;Alphaproteobacteria","H13-3","SAMN02603055","PRJNA50341","Complete",5.57377,5154,5365,,,57
"Helicobacter felis ATCC 49179","Bacteria;Proteobacteria;delta/epsilon subdivisions","ATCC 49179","SAMEA2272759","PRJEA61189","Complete",1.67268,1610,1696,"human","representative",36
"Weissella koreensis KACC 15510","Bacteria;Terrabacteria group;Firmicutes","KACC 15510","SAMN02603132","PRJNA67979","Complete",1.44147,1320,1404,,"representative",55
"Capnocytophaga canimorsus Cc5","Bacteria;FCB group;Bacteroidetes/Chlorobi group","Cc5","SAMN02603043","PRJNA50199","Complete",2.57141,2183,2298,,"representative",46
"Rickettsia heilongjiangensis 054","Bacteria;Proteobacteria;Alphaproteobacteria","054","SAMN02602971","PRJNA66907","Complete",1.27847,1210,1525,"human",,33
"Collimonas fungivorans Ter331","Bacteria;Proteobacteria;Betaproteobacteria","Ter331","SAMN02603677","PRJNA65451","Complete",5.1869,4550,4698,,,53
"Brucella pinnipedialis B2/94","Bacteria;Proteobacteria;Alphaproteobacteria","B2/94","SAMN02603341","PRJNA41867","Complete",3.39927,3276,3478,,,55
"Cyclobacterium marinum DSM 745","Bacteria;FCB group;Bacteroidetes/Chlorobi group","DSM 745","SAMN02261369","PRJNA51773","Complete",6.22127,4964,5065,,"representative",39
"Borreliella bissettii DN127","Bacteria;Spirochaetes;Spirochaetia","DN127","SAMN02604204","PRJNA29363","Complete",1.40344,1326,1472,"human","representative",32
"Cronobacter turicensis z3032","Bacteria;Proteobacteria;Gammaproteobacteria","","SAMEA2272673","PRJEA39965","Complete",4.59909,4211,4441,"human",,84
"Streptomyces cyaneogriseus subsp. noncyanogenus","Bacteria;Terrabacteria group;Actinobacteria","NMWT 1","SAMN03329629","PRJNA274645","Complete",7.7624,6227,6697,,,66
"Acidithiobacillus ferrivorans SS3","Bacteria;Proteobacteria;Acidithiobacillia","SS3","SAMN00713557","PRJNA61509","Complete",3.20755,3016,3206,,"representative",48
"Muricauda ruestringensis DSM 13258","Bacteria;FCB group;Bacteroidetes/Chlorobi group","DSM 13258","SAMN02232041","PRJNA52467","Complete",3.84242,3385,3459,,"representative",38
"Mycoplasma putrefaciens KS1","Bacteria;Terrabacteria group;Tenericutes","KS1","SAMN02604224","PRJNA46453","Complete",0.832603,654,722,,"representative",30
"Streptomyces violaceusniger Tu 4113","Bacteria;Terrabacteria group;Actinobacteria","Tu 4113","SAMN00016986","PRJNA43031","Complete",11.1383,8711,9588,,,65
"Caldicellulosiruptor lactoaceticus 6A","Bacteria;Terrabacteria group;Firmicutes","6A","SAMN00713563","PRJNA40219","Complete",2.67481,2256,2536,,,45
"Streptomyces sp. SirexAA-E","Bacteria;Terrabacteria group;Actinobacteria","SirexAA-E","SAMN02232054","PRJNA38225","Complete",7.41444,6311,6649,,,64
"Rugosibacter aromaticivorans","Bacteria;Proteobacteria;Betaproteobacteria","Ca6","SAMN03144834","PRJNA264992","Complete",2.93461,2457,2859,,,46
"Sphingomonas hengshuiensis","Bacteria;Proteobacteria;Alphaproteobacteria","WHSC-8","SAMN03329624","PRJNA274606","Complete",5.22839,4642,4799,,"representative",48
"Thermoanaerobacter wiegelii Rt8.B1","Bacteria;Terrabacteria group;Firmicutes","Rt8.B1","SAMN00016423","PRJNA42251","Complete",2.78506,2424,2744,,"representative",57
"halophilic archaeon DL31","Archaea;Euryarchaeota;Stenosarchaea group","DL31","SAMN02232027","PRJNA52855","Complete",3.64316,3370,3653,,"representative",45
"Burkholderia glumae BGR1","Bacteria;Proteobacteria;Betaproteobacteria","BGR1","SAMN02603166","PRJNA33901","Complete",7.28464,6151,6485,"plants",,67
"Enterobacter asburiae LF7a","Bacteria;Proteobacteria;Gammaproteobacteria","LF7a","SAMN02232020","PRJNA41509","Complete",5.01213,4657,4877,,,83
"Haemophilus parainfluenzae T3T1","Bacteria;Proteobacteria;Gammaproteobacteria","T3T1","SAMEA3138384","PRJNA50411","Complete",2.08688,1948,2056,"human",,57
"Haloarcula hispanica ATCC 33960","Archaea;Euryarchaeota;Stenosarchaea group","CGMCC 1.2049","SAMN02602960","PRJNA68523","Complete",3.89,3728,3845,,"representative",46
"Parvularcula bermudensis HTCC2503","Bacteria;Proteobacteria;Alphaproteobacteria","HTCC2503","SAMN02603918","PRJNA13509","Complete",2.90264,2611,2691,,"representative",43
"Lactobacillus sanfranciscensis TMW 1.1304","Bacteria;Terrabacteria group;Firmicutes","TMW 1.1304","SAMN02603515","PRJNA43579","Complete",1.37577,1294,1456,,"representative",61
"Roseburia hominis A2-183","Bacteria;Terrabacteria group;Firmicutes","A2-183","SAMN02604129","PRJNA33399","Complete",3.59212,3198,3362,,"representative",57
"Lactobacillus ruminis ATCC 27782","Bacteria;Terrabacteria group;Firmicutes","ATCC 27782","SAMN02603606","PRJNA70721","Complete",2.06665,1862,2136,,"representative",67
"Pyrolobus fumarii 1A","Archaea;TACK group;Crenarchaeota","1A","SAMN02232047","PRJNA48579","Complete",1.84327,1906,1969,,"representative",48
"Gynuella sunshinyii YC6258","Bacteria;Proteobacteria;Gammaproteobacteria","YC6258","SAMN03379849","PRJNA233633","Complete",6.47596,5253,5595,,"representative",44
"Propionibacterium freudenreichii subsp. freudenreichii","Bacteria;Terrabacteria group;Actinobacteria","DSM 20271","SAMN03263638","PRJNA269789","Complete",2.64917,2213,2333,,"representative",44
"Photobacterium gaetbulicola Gung47","Bacteria;Proteobacteria;Gammaproteobacteria","Gung47","SAMN03379852","PRJNA189839","Complete",5.90941,5037,5285,,"representative",131
"Siansivirga zeaxanthinifaciens CC-SAMT-1","Bacteria;FCB group;Bacteroidetes/Chlorobi group","CC-SAMT-1","SAMN03379851","PRJNA236449","Complete",3.30399,2785,2889,,"representative",43
"Mycoplasma dispar","Bacteria;Terrabacteria group;Tenericutes","ATCC 27140","SAMN03379857","PRJNA238452","Complete",1.08445,729,792,,"representative",32
"Maribacter sp. HTCC2170","Bacteria;FCB group;Bacteroidetes/Chlorobi group","HTCC2170","SAMN02603923","PRJNA13595","Complete",3.8683,3327,3400,,,38
"Chloracidobacterium thermophilum B","Bacteria;Acidobacteria;Blastocatellia","B","SAMN02603950","PRJNA62457","Complete",3.69537,2969,3073,,"representative",46
"Micavibrio aeruginosavorus ARL-13","Bacteria;Proteobacteria;Alphaproteobacteria","ARL-13","SAMN02604252","PRJNA49751","Complete",2.48198,2314,2370,,"representative",41
"Roseobacter litoralis Och 149","Bacteria;Proteobacteria;Alphaproteobacteria","Och 149","SAMN02603624","PRJNA19357","Complete",4.74545,4429,4582,,"representative",37
"Taylorella asinigenitalis MCE3","Bacteria;Proteobacteria;Betaproteobacteria","MCE3","SAMN02602982","PRJNA66041","Complete",1.63856,1485,1556,,"representative",38
"Glaciecola nitratireducens FR1064","Bacteria;Proteobacteria;Gammaproteobacteria","FR1064","SAMN02603857","PRJNA73073","Complete",4.13423,3449,3542,,"representative",54
"Psychromicrobium lacuslunae","Bacteria;Terrabacteria group;Actinobacteria","IHBB 11108","SAMN03366954","PRJNA276066","Complete",3.59943,3306,3396,,,46
"Acidaminococcus intestini RyC-MR95","Bacteria;Terrabacteria group;Firmicutes","RyC-MR95","SAMN02603738","PRJNA32215","Complete",2.48777,2305,2417,"human","representative",52
"Thermococcus sp. AM4","Archaea;Euryarchaeota;Thermococci","AM4","SAMN02603626","PRJNA19381","Complete",2.08643,2231,2302,,,46
"Candidatus Liberibacter asiaticus str. psy62","Bacteria;Proteobacteria;Alphaproteobacteria","psy62","SAMN02603311","PRJNA29835","Complete",1.22733,1027,1115,"plants",,44
"Lactobacillus mucosae LM1","Bacteria;Terrabacteria group;Firmicutes","LM1","SAMN02470226","PRJNA80653","Complete",2.43461,2123,2292,,"representative",91
"Peptoniphilus sp. ING2-D1G","Bacteria;Terrabacteria group;Firmicutes","","SAMEA2681676","PRJEB6908","Complete",1.60185,1493,1588,,,53
"Candidatus Methylopumilus turicensis","Bacteria;Proteobacteria;Betaproteobacteria","MMS-10A-171","SAMEA3165956","PRJEB7927","Complete",1.75499,1706,1786,,,40
"Acholeplasma oculi","Bacteria;Terrabacteria group;Tenericutes","","SAMEA2522063","PRJEB6255","Complete",1.58712,1436,1501,,"representative",34
"[Clostridium] cellulosi","Bacteria;Terrabacteria group;Firmicutes","","SAMEA2634676","PRJEB6528","Complete",2.22958,1962,2054,,"representative",59
"Legionella fallonii LLAP-10","Bacteria;Proteobacteria;Gammaproteobacteria","LLAP-10","SAMEA2785663","PRJEB7322","Complete",4.43489,3622,3761,,"representative",46
"Xenorhabdus nematophila AN6/1","Bacteria;Proteobacteria;Gammaproteobacteria","AN6/1","SAMEA2501488","PRJEB5061","Complete",4.58666,3759,4219,,"representative",79
"Candidatus Evansia muelleri","Bacteria;Proteobacteria;Gammaproteobacteria","","SAMEA2500319","PRJEB4944","Complete",0.357498,325,363,,,32
"Methylacidiphilum fumariolicum SolV","Bacteria;PVC group;Verrucomicrobia","","SAMEA2682029","PRJEB6910","Complete",2.47667,2225,2349,,"representative",47
"Fermentimonas caenicola","Bacteria;FCB group;Bacteroidetes/Chlorobi group","","SAMEA2724983","PRJEB7091","Complete",2.80893,2319,2415,,,44
"Tatlockia micdadei","Bacteria;Proteobacteria;Gammaproteobacteria","ATCC33218","SAMEA2785665","PRJEB7312","Complete",3.31003,2854,2965,,"representative",43
"Legionella hackeliae","Bacteria;Proteobacteria;Gammaproteobacteria","ATCC35250","SAMEA2785664","PRJEB7321","Complete",3.57086,3065,3211,,"representative",43
"Aliivibrio wodanis","Bacteria;Proteobacteria;Gammaproteobacteria","","SAMEA2735904","PRJEB6963","Complete",4.63513,3993,4260,,"representative",89
"Defluviitoga tunisiensis","Bacteria;Thermotogae;Thermotogae","L3","SAMEA3139667","PRJEB7786","Complete",2.0531,1794,1878,,"representative",47
"Moritella viscosa","Bacteria;Proteobacteria;Gammaproteobacteria","","SAMEA2735902","PRJEB6964","Complete",5.09399,4301,4650,,"representative",131
"Elizabethkingia miricola","Bacteria;FCB group;Bacteroidetes/Chlorobi group","BM10","SAMN03398457","PRJNA277897","Complete",4.24252,3728,3888,,,53
"Candidatus Nitrosopumilus adriaticus","Archaea;TACK group;Thaumarchaeota","NF5","SAMN03253153","PRJNA269341","Complete",1.80309,2037,2145,,,41
"Clavibacter insidiosus","Bacteria;Terrabacteria group;Actinobacteria","R1-1","SAMN03397809","PRJNA277880","Complete",3.40806,3082,3274,,,46
"Burkholderia ubonensis MSMB22","Bacteria;Proteobacteria;Betaproteobacteria","MSMB22","SAMN03072629","PRJNA239258","Complete",7.18907,6127,6473,,"representative",72
"Burkholderia vietnamiensis LMG 10929","Bacteria;Proteobacteria;Betaproteobacteria","LMG 10929","SAMN03107475","PRJNA235223","Complete",6.9305,5949,6304,"human",,69
"Burkholderia dolosa AU0158","Bacteria;Proteobacteria;Betaproteobacteria","AU0158","SAMN03144971","PRJNA235220","Complete",6.40909,5616,5912,"human",,67
"Burkholderia gladioli","Bacteria;Proteobacteria;Betaproteobacteria","ATCC 10248","SAMN03010439","PRJNA238809","Complete",8.89946,7386,7729,"plants","representative",69
"Martelella endophytica","Bacteria;Proteobacteria;Alphaproteobacteria","YC6887","SAMN03284753","PRJNA272964","Complete",4.81733,4393,4526,,"representative",52
"Paenibacillus beijingensis","Bacteria;Terrabacteria group;Firmicutes","DSM 24997","SAMN03396708","PRJNA277798","Complete",5.74997,4988,5255,,"representative",89
"Paraburkholderia fungorum","Bacteria;Proteobacteria;Betaproteobacteria","","SAMN03174512","PRJNA265859","Complete",9.05898,7900,8219,,,64
"Streptomyces pratensis ATCC 33331","Bacteria;Terrabacteria group;Actinobacteria","ATCC 33331","SAMN00191232","PRJNA33771","Complete",7.6561,6518,6861,,,68
"Thermovirga lienii DSM 17291","Bacteria;Synergistetes;Synergistia","DSM 17291","SAMN02232060","PRJNA33163","Complete",1.99965,1880,1965,,"representative",48
"Ralstonia mannitolilytica","Bacteria;Proteobacteria;Betaproteobacteria","SN82F48","SAMN03295199","PRJNA273689","Complete",5.0723,4611,4797,,"representative",51
"Chania multitudinisentens RB-25","Bacteria;Proteobacteria;Gammaproteobacteria","RB-25","SAMN02569064","PRJNA232738","Complete",5.48818,4746,4982,,,77
"Pelagibacterium halotolerans B2","Bacteria;Proteobacteria;Alphaproteobacteria","B2","SAMN02604343","PRJNA72927","Complete",3.94889,3758,3861,,"representative",47
"Pelosinus fermentans JBW45","Bacteria;Terrabacteria group;Firmicutes","JBW45","SAMN00996448","PRJNA166937","Complete",5.38082,4578,4812,,"representative",77
