rRNA16S,Habitat,Oxygen,Motility,Spore,Pigment,Shape,Aggregation,Gram,GC,Length,Width,pH_optimum,Temp_optimum,Salt_optimum
DQ196621,other,facultative anaerobe,NA,yes,yes,rod,NA,positive,28.5,6.1,0.7,7.45,41.5,NA
DQ023221,other,facultative anaerobe,NA,yes,yes,rod,NA,positive,45.8,4,0.65,NA,NA,NA
EU874387,other,obligate aerobe,flagella,yes,yes,rod,NA,positive,48.1,5.15,0.3,8.75,37,10
FJ232451,marine sediment,obligate aerobe,"motile, but unspecified structure",NA,yes,rod,NA,negative,60.5,2.28,0.71,7.75,25,2.5
FM177586,seawater,obligate aerobe,"motile, but unspecified structure",NA,yes,rod,NA,negative,63.1,1.5,0.6,7.1,30,2
AB473549,marine sediment,obligate aerobe,"motile, but unspecified structure",NA,no,rod,NA,negative,NA,2,NA,7.25,30,NA
AM490609,other,NA,"motile, but unspecified structure",no,yes,rod,NA,negative,NA,2,NA,NA,27.5,NA
EF660342,other,obligate aerobe,flagella,no,yes,rod,NA,negative,69,1.2,0.7,7,27.5,0.5
EU822512,soil,obligate aerobe,flagella,NA,yes,rod,NA,negative,60,1.6,0.8,7,37,11.5
GQ214052,soil,obligate aerobe,flagella,yes,yes,rod,chain,positive,49.6,2.35,0.5,7,30,0.5
EU143355,other,obligate aerobe,flagella,NA,yes,rod,chain,negative,66.3,NA,NA,7.5,30,0
FN391023,other,obligate aerobe,non-motile,no,yes,rod,chain,negative,49.7,2,NA,7.2,27.5,NA
DQ109037,soil,obligate aerobe,non-motile,no,yes,rod,chain,negative,65.6,1.25,0.65,7,30,1
EF623862,soil,obligate aerobe,gliding,NA,yes,rod,chain,negative,65.4,0.75,0.35,7.25,30,NA
DQ647056,other,obligate aerobe,"motile, but unspecified structure",no,yes,rod,chain,negative,58.8,NA,NA,7,37,NA
EU672801,soil,obligate aerobe,"motile, but unspecified structure",no,no,rod,chain,negative,53.2,2.85,0.6,7,28,2.5
AB245358,soil,facultative anaerobe,"motile, but unspecified structure",no,yes,rod,chain,negative,66,2.25,0.4,7,27.5,0.5
EF382666,freshwater,facultative anaerobe,"motile, but unspecified structure",NA,yes,rod,chain,negative,NA,2.5,1.25,7,25,0.6
FJ948107,soil,obligate aerobe,non-motile,no,yes,rod,chain,negative,72,2,0.7,7,12.5,1.5
FJ589031,other,facultative anaerobe,flagella,no,yes,rod,chain,negative,46,3.25,0.75,7,33.5,1.5
AB500095,seawater,obligate aerobe,non-motile,NA,yes,rod,chain,negative,43.8,3.15,0.5,9,26.5,2.5
AM941388,other,obligate aerobe,flagella,no,yes,rod,NA,negative,62,2.5,1,8.5,32.5,5.25
AM941396,other,obligate aerobe,flagella,no,yes,rod,NA,negative,64.6,2.5,0.95,8.5,32.5,6.25
AM941399,other,obligate aerobe,flagella,no,yes,rod,NA,negative,64.8,2.75,0.8,8.5,32.5,2.5
FJ373058,other,obligate aerobe,non-motile,no,yes,rod,NA,negative,63.8,1.15,0.55,7.5,30,NA
EU009209,soil,obligate aerobe,non-motile,no,yes,rod,NA,negative,63.8,1.8,0.55,NA,30,NA
EU781657,soil,obligate aerobe,non-motile,no,yes,rod,NA,negative,65,2.15,1,7,28,1
FJ482231,hypersaline environment,obligate aerobe,non-motile,NA,yes,rod,chain,negative,63.5,1.5,0.4,7.4,32,2.9
AB455265,other,obligate aerobe,non-motile,no,no,rod,NA,negative,33.9,1.75,0.75,7,20,0
EU109724,freshwater sediment,obligate aerobe,non-motile,NA,no,rod,NA,negative,37.2,2.5,0.8,7,27.5,NA
EF217419,seawater,obligate aerobe,non-motile,NA,yes,rod,NA,negative,37.7,2,0.45,7.5,32.5,NA
EU360967,other,obligate aerobe,non-motile,NA,no,rod,NA,negative,43,1.8,0.6,7,30,2.5
EU360966,other,obligate aerobe,non-motile,NA,no,rod,NA,negative,34,2.05,0.55,7.5,27.5,2
EU313814,other,obligate aerobe,non-motile,no,yes,rod,NA,negative,52,1,0.5,7,22.5,0.5
AM162405,other,NA,non-motile,NA,no,cocci,NA,negative,56,1.05,0.65,6,25,NA
AM260555,hotspring,NA,"motile, but unspecified structure",NA,NA,rod,NA,negative,40.3,3.15,0.55,6.2,75,NA
AF333759,soil,obligate aerobe,"motile, but unspecified structure",NA,yes,rod,NA,negative,67.1,3.75,0.75,7.5,40,23.75
EF593038,soil,obligate aerobe,non-motile,NA,yes,rod,NA,positive,70.2,0.7,0.35,NA,30,NA
EU305672,bioreactor,obligate aerobe,non-motile,no,yes,ovoid/coccobacillus,NA,positive,66,0.6,0.5,7,30,1
FN293378,other,obligate aerobe,non-motile,NA,yes,NA,NA,positive,NA,NA,NA,NA,NA,NA
EU429322,plant associated,obligate aerobe,NA,yes,yes,NA,NA,positive,70.6,NA,NA,6.5,29,NA
AB468971,soil,obligate aerobe,non-motile,no,yes,cocci,chain,positive,68.2,1.2,0.5,NA,24,NA
EF564379,soil,obligate aerobe,non-motile,no,yes,cocci,NA,positive,60.04,0.975,0.8,8,37,8
AB196712,marine sediment,obligate aerobe,NA,yes,yes,NA,NA,positive,72,NA,NA,NA,27.5,NA
FJ528304,other,obligate aerobe,non-motile,no,yes,cocci,clump,positive,65.8,1.55,0.8,6.5,28,0.5
FJ535354,seawater,facultative anaerobe,flagella,no,no,rod,NA,negative,59.1,1.3,0.65,7.75,25,4.5
AM774321,other,facultative anaerobe,non-motile,no,NA,rod,chain,negative,50.3,1.5,0.4,7,28,2.5
EU939718,other,obligate aerobe,non-motile,no,yes,ovoid/coccobacillus,chain,negative,48.5,1.15,0.65,7.5,25,1.5
FM203122,other,facultative anaerobe,flagella,NA,yes,rod,chain,negative,53.6,2.5,0.75,6,33.5,4.5
EU581832,seawater,obligate aerobe,flagella,NA,yes,rod,chain,negative,72.8,1.4,0.75,8.15,28,2.25
FJ599671,soil,obligate aerobe,"motile, but unspecified structure",no,yes,rod,chain,negative,65.9,NA,0.3,6,30,0
EU004198,other,obligate aerobe,non-motile,NA,yes,rod,chain,negative,45.5,13.75,0.6,7,30,NA
FJ595484,other,facultative anaerobe,gliding,no,yes,rod,chain,negative,30,1.3,0.65,8.25,23,3
EU854577,soil,obligate aerobe,non-motile,NA,yes,rod,chain,positive,48.1,0.55,0.45,6.5,28,0.5
AB477014,other,anaerobic,non-motile,no,yes,rod,NA,negative,50.2,2,0.7,7,37,0
GQ131577,soil,obligate aerobe,non-motile,NA,yes,ovoid/coccobacillus,chain,negative,48.9,2.25,1.05,7,12.5,0.5
EU443206,seawater,obligate aerobe,gliding,no,yes,rod,chain,negative,47.9,2,0.5,7.75,27.5,3
EF368008,soil,obligate aerobe,"motile, but unspecified structure",yes,NA,rod,NA,positive,58.8,3,0.7,7,30,NA
EF368010,soil,obligate aerobe,"motile, but unspecified structure",yes,NA,rod,NA,positive,61.3,2.5,1,7,30,NA
EU583724,other,facultative anaerobe,flagella,yes,yes,rod,NA,positive,41.3,4.25,0.6,7.5,35,3.5
EU888120,other,NA,NA,NA,yes,cocci,clump,positive,NA,NA,NA,NA,NA,NA
EU570250,estuarine water,obligate aerobe,"motile, but unspecified structure",yes,no,rod,NA,positive,50,NA,NA,7,33.5,NA
FJ182049,other,NA,non-motile,no,yes,cocci,clump,positive,47.8,NA,1.75,7.5,33.5,12
EU711071,soil,anaerobic,"motile, but unspecified structure",yes,NA,rod,NA,positive,47.7,3.15,0.5,6.8,30,NA
EU711072,other,anaerobic,non-motile,no,NA,rod,NA,negative,54.4,2.95,0.4,6.8,28.5,NA
EU344769,other,facultative anaerobe,non-motile,no,yes,rod,NA,negative,50.2,2,1,NA,NA,NA
FM955223,estuarine sediment,NA,flagella,NA,yes,rod,NA,negative,41.7,NA,NA,6.5,30,1.5
EU512920,seawater,obligate aerobe,flagella,NA,yes,rod,NA,negative,28,1.1,0.2,7,33.5,4
EU660516,other,anaerobic,NA,no,yes,rod,NA,negative,53,1.25,0.4,7,30,0
FJ442859,other,obligate aerobe,NA,no,yes,rod,NA,negative,59.4,1.3,0.45,7.5,30,NA
AB303305,other,anaerobic,flagella,no,yes,rod,NA,negative,63.3,4,0.85,7.1,35,0.5
AB467279,other,obligate aerobe,non-motile,NA,yes,rod,NA,negative,51.7,2,0.5,8.25,26.5,2.75
FJ669217,soil,facultative anaerobe,flagella,NA,yes,rod,NA,negative,63.8,1.6,0.5,7.5,30,0.5
EU909460,other,obligate aerobe,flagella,NA,yes,rod,NA,negative,61.4,1.05,0.6,5.5,25,6.5
AB361068,plant associated,obligate aerobe,flagella,no,yes,rod,NA,negative,65.3,1.6,0.5,7,NA,NA
NA,plant associated,obligate aerobe,NA,no,yes,rod,NA,negative,62.8,NA,NA,NA,NA,NA
NA,plant associated,obligate aerobe,NA,no,yes,rod,NA,negative,62.4,NA,NA,NA,NA,NA
EF988634,seawater,obligate aerobe,flagella,no,NA,rod,NA,negative,64.9,0.7,0.45,6.75,25,10
AB480534,human - mouth,anaerobic,non-motile,no,yes,rod,NA,NA,39.7,1.6,0.65,NA,NA,NA
FJ424814,other,obligate aerobe,NA,NA,yes,rod,NA,negative,38.1,3.5,0.25,NA,33.5,NA
EU877262,soil,obligate aerobe,non-motile,NA,yes,rod,NA,negative,45.2,18,0.35,7,30,0
FM882228,other,obligate aerobe,non-motile,NA,yes,rod,NA,negative,30,2.3,1.1,7.1,27.5,NA
FJ598048,marine sediment,obligate aerobe,non-motile,NA,yes,rod,NA,negative,34.6,3,0.55,7.5,27.5,2
EF204460,other,obligate aerobe,non-motile,NA,yes,rod,NA,negative,38,1.65,0.8,7,27.5,0.25
DQ404455,other,obligate aerobe,NA,NA,NA,ovoid/coccobacillus,NA,NA,NA,3.5,2.5,NA,NA,NA
NA,seawater,obligate aerobe,NA,no,yes,ovoid/coccobacillus,NA,NA,NA,NA,NA,NA,NA,NA
EU170123,soil,anaerobic,NA,yes,NA,NA,NA,positive,72,NA,NA,NA,NA,NA
EU170119,NA,NA,NA,yes,NA,NA,NA,NA,70.2,NA,NA,NA,NA,NA
EU170121,soil,NA,NA,yes,yes,NA,NA,NA,70.2,NA,NA,NA,NA,NA
EU170127,soil,NA,NA,yes,no,NA,NA,NA,71.2,NA,NA,NA,NA,NA
EU170126,NA,NA,NA,yes,yes,NA,NA,NA,71,NA,NA,NA,NA,NA
EU170124,NA,NA,NA,yes,yes,NA,NA,NA,72,NA,NA,NA,NA,NA
AB489904,soil,obligate aerobe,non-motile,no,yes,rod,NA,positive,72.9,2,0.6,6,28,1
FJ807672,other,obligate aerobe,NA,NA,NA,cocci,NA,positive,NA,NA,1.25,NA,NA,NA
FJ807673,other,obligate aerobe,NA,NA,yes,rod,NA,positive,NA,2.5,1.1,NA,NA,NA
FJ865215,other,obligate aerobe,NA,NA,yes,rod,NA,positive,NA,2.5,1.1,NA,NA,NA
FJ865214,other,obligate aerobe,NA,NA,yes,rod,NA,positive,NA,2.5,1.1,NA,NA,NA
EF467640,soil,obligate aerobe,"motile, but unspecified structure",NA,yes,rod,NA,positive,64.7,2.5,0.8,7,16.5,NA
FJ374773,other,facultative anaerobe,NA,no,yes,rod,NA,positive,NA,NA,NA,NA,NA,NA
EU852101,other,NA,non-motile,no,yes,rod,NA,positive,70.3,NA,NA,7,30,2
FN293377,other,NA,non-motile,no,no,cocci,none,positive,NA,NA,1,8.5,27.5,NA
FJ607311,other,obligate aerobe,non-motile,NA,yes,cocci,NA,positive,70.2,NA,1.25,8.5,33.5,1
AB468943,soil,obligate aerobe,NA,yes,yes,NA,NA,positive,70.6,NA,NA,NA,27.5,NA
AB468944,soil,obligate aerobe,NA,yes,yes,NA,NA,positive,70.6,NA,NA,NA,24,NA
FJ444996,marine sediment,obligate aerobe,non-motile,NA,yes,NA,NA,positive,66.1,NA,NA,7,32.5,NA
FJ765415,other,obligate aerobe,non-motile,NA,yes,rod,NA,positive,48.3,2.9,0.6,7.25,NA,2
AB469560,other,facultative anaerobe,NA,no,yes,cocci,chain,positive,39.9,NA,NA,NA,NA,NA
EF382648,other,anaerobic,non-motile,yes,yes,rod,NA,negative,33.7,3.25,0.65,6.7,38,NA
AB689189,other,obligate aerobe,flagella,NA,yes,rod,NA,negative,58.5,2.13,0.37,7.5,20,2.5
AB689190,other,obligate aerobe,flagella,NA,yes,rod,NA,negative,59,2.13,0.37,7.5,20,2.5
AB689191,other,obligate aerobe,flagella,NA,yes,rod,NA,negative,60.2,2.13,0.37,7.5,20,2.5
JF799985,soil,obligate aerobe,"motile, but unspecified structure",no,yes,rod,NA,negative,66.7,1,0.4,7,29,0
FN376859,other,obligate aerobe,non-motile,NA,yes,rod,NA,negative,62.2,0.9,5,9,37,19.72
DQ517535,hotspring,anaerobic,"motile, but unspecified structure",NA,no,rod,NA,negative,38.7,7,0.25,7,50,3
HM357635,freshwater,obligate aerobe,non-motile,NA,yes,rod,NA,negative,44.1,4.5,0.6,7,25,0
HM357635,freshwater,obligate aerobe,non-motile,NA,yes,rod,NA,negative,44.1,4.5,0.6,7,25,0
EU931578,other,obligate aerobe,"motile, but unspecified structure",NA,yes,rod,NA,negative,62.1,1.5,1.5,6.25,40,17.98
EU377663,other,anaerobic,non-motile,no,yes,rod,chain,positive,60.8,0.9,0.5,7,37,0
FM998017,soil,obligate aerobe,non-motile,no,yes,rod,chain,positive,68.3,0.95,0.4,9.6,25,4
FJ613126,soil,obligate aerobe,non-motile,yes,yes,rod,chain,positive,71.6,NA,NA,7.5,28,2
EU870859,freshwater sediment,obligate aerobe,non-motile,yes,no,rod,chain,positive,66.8,NA,0.2,6.25,32.5,3.5
FJ812357,freshwater sediment,obligate aerobe,non-motile,yes,no,rod,chain,positive,68.1,NA,NA,7,28,1.5
FJ423764,soil,obligate aerobe,non-motile,NA,yes,rod,chain,positive,75.9,0.9,0.45,7,30,1
FJ423763,soil,obligate aerobe,non-motile,NA,yes,cocci,chain,positive,67.2,NA,0.65,7,33,1
GQ381309,soil,obligate aerobe,non-motile,yes,yes,rod,chain,positive,70.3,NA,NA,7,31,2.5
DQ219354,freshwater sediment,facultative anaerobe,non-motile,no,yes,rod,chain,positive,65,NA,NA,7,31,0.5
EU815294,soil,obligate aerobe,"motile, but unspecified structure",yes,no,rod,chain,positive,42,2.2,0.5,7,22,1
FJ973605,soil,obligate aerobe,"motile, but unspecified structure",yes,yes,rod,chain,positive,70,2.25,1.1,7,28,0.5
FJ973604,soil,obligate aerobe,"motile, but unspecified structure",yes,yes,rod,chain,positive,74,1.1,2.25,7,28,0.75
FJ973607,soil,obligate aerobe,"motile, but unspecified structure",yes,yes,rod,chain,positive,73,2.45,1.35,7,28,0.5
FN393755,other,obligate aerobe,NA,yes,yes,rod,chain,positive,NA,NA,1.3,NA,28,0.5
FM162181,other,obligate aerobe,"motile, but unspecified structure",yes,yes,rod,none,positive,48.1,3,1,7.2,20,2
FJ182214,other,obligate aerobe,flagella,yes,NA,rod,NA,positive,37.6,3.5,0.35,7,37,7.5
AB449106,soil,obligate aerobe,non-motile,no,yes,rod,clump,positive,45,1.1,0.6,8.75,30,12.5
EF468719,seawater,obligate aerobe,non-motile,NA,yes,cocci,NA,negative,47.8,NA,0.6,7.5,22.5,3.5
EU726271,seawater,NA,flagella,NA,yes,rod,NA,negative,65.9,1,1,NA,31,3
EF622233,freshwater,obligate aerobe,flagella,NA,yes,rod,NA,negative,52.5,3,1.3,7.5,32.5,2
AB440632,other,NA,non-motile,NA,yes,rod,NA,NA,40.1,0.74,0.36,NA,NA,NA
AB440636,other,NA,non-motile,NA,yes,rod,NA,NA,40.4,1.16,0.43,NA,NA,NA
AB362219,other,obligate aerobe,non-motile,no,yes,rod,NA,negative,65.6,1.4,0.3,4.5,NA,NA
EF424391,other,obligate aerobe,flagella,NA,yes,rod,NA,NA,68,1,0.8,7.5,28,1
AM983542,other,obligate aerobe,flagella,no,yes,rod,NA,negative,67.5,2.15,0.7,7.5,25,3.5
EU682685,soil,obligate aerobe,flagella,NA,yes,rod,NA,negative,65.8,2,0.35,6.5,30,0.05
NA,other,obligate aerobe,non-motile,no,NA,ovoid/coccobacillus,clump,negative,NA,0.9,0.6,NA,NA,NA
AY136099,freshwater,NA,flagella,NA,yes,rod,NA,negative,69.3,2,NA,NA,28.5,0.5
AM933371,other,microaerophile,flagella,NA,no,rod,NA,negative,30,NA,NA,NA,NA,NA
FJ267523,other,obligate aerobe,NA,NA,NA,rod,none,negative,48,NA,NA,6.25,30,NA
DQ322070,hotspring,anaerobic,flagella,NA,NA,rod,none,negative,67.8,2.5,0.9,NA,NA,NA
NA,other,obligate aerobe,non-motile,NA,NA,ovoid/coccobacillus,NA,negative,NA,NA,NA,NA,NA,NA
NA,other,obligate aerobe,non-motile,NA,NA,ovoid/coccobacillus,NA,negative,NA,NA,NA,NA,NA,NA
EU599216,other,obligate aerobe,"motile, but unspecified structure",NA,yes,rod,NA,negative,47.6,NA,NA,NA,25,NA
EU723082,other,obligate aerobe,non-motile,NA,yes,rod,NA,negative,66.5,1.3,0.85,7,30,0
EU734592,seawater,obligate aerobe,non-motile,NA,NA,rod,NA,negative,63.7,2.6,0.8,8,25,1.5
EU169578,plant associated,obligate aerobe,"motile, but unspecified structure",no,NA,rod,NA,negative,61.4,1.4,0.6,NA,NA,NA
FJ535355,plant associated,obligate aerobe,flagella,no,no,cocci,NA,negative,60.2,NA,1,7.75,NA,NA
FJ767735,other,NA,NA,NA,NA,ovoid/coccobacillus,NA,negative,NA,NA,NA,NA,NA,NA
FM883672,freshwater,obligate aerobe,non-motile,NA,yes,rod,NA,negative,42.7,2.5,0.6,NA,33.5,NA
FM883672,freshwater,obligate aerobe,non-motile,NA,yes,rod,NA,negative,42.7,2.5,0.6,NA,33.5,NA
FJ886713,seawater,obligate aerobe,gliding,no,no,rod,NA,negative,35,2.1,0.55,6.75,37,2
FJ716799,other,obligate aerobe,non-motile,NA,yes,rod,NA,negative,34.4,2.45,0.45,NA,NA,2.5
EU627786,other,obligate aerobe,NA,NA,yes,ovoid/coccobacillus,none,NA,NA,6.5,2.5,NA,NA,NA
NA,other,obligate aerobe,NA,yes,yes,cocci,NA,NA,NA,3.75,1.9,NA,NA,NA
AB087287,other,NA,non-motile,no,yes,cocci,NA,NA,69.8,NA,1.25,7,27.5,NA
EU247889,hotspring,obligate aerobe,NA,no,yes,rod,NA,negative,68.3,3.75,0.6,7.75,70,NA
EU247891,hotspring,obligate aerobe,non-motile,no,yes,rod,chain,negative,61.5,1.75,0.5,8.25,57.5,NA
EU719657,hypersaline environment,anaerobic,flagella,no,NA,rod,NA,negative,52,6,1.5,7.3,30,2
EU276414,other,anaerobic,non-motile,NA,NA,cocci,clump,negative,36.4,NA,0.8,7,65,15
EU887285,other,obligate aerobe,non-motile,NA,yes,cocci,NA,negative,54,NA,1.25,7,38.5,19.72
AY498645,other,obligate aerobe,"motile, but unspecified structure",NA,yes,cocci,NA,negative,63.5,NA,1.2,7.25,NA,19
EF660747,other,obligate aerobe,flagella,NA,yes,cocci,NA,negative,56.5,NA,1,7,37,15
AY498641,other,obligate aerobe,flagella,NA,yes,rod,NA,negative,58,4,1.1,7,45,NA
FN356976,soil,obligate aerobe,NA,NA,NA,cocci,NA,positive,NA,NA,1.25,NA,NA,NA
FJ607310,other,obligate aerobe,non-motile,NA,yes,rod,NA,positive,69,1.5,0.75,6.5,30,2
FM179943,other,facultative anaerobe,flagella,no,no,rod,NA,negative,49.8,NA,NA,4,32.5,0
FJ606836,hypersaline environment,obligate aerobe,NA,yes,NA,NA,NA,positive,66.1,NA,NA,7,37,5
FN356742,soil,obligate aerobe,NA,yes,yes,NA,NA,positive,NA,NA,NA,NA,NA,NA
EU573947,other,obligate aerobe,non-motile,NA,yes,ovoid/coccobacillus,NA,positive,73,1.75,0.9,6.5,30,NA
FJ968710,food product,facultative anaerobe,"motile, but unspecified structure",NA,yes,rod,chain,negative,41.8,1.65,0.9,7.25,30,6
FJ998414,other,obligate aerobe,non-motile,NA,yes,rod,chain,negative,65.4,1.75,1.75,7.5,28,5.5
FJ593907,other,obligate aerobe,flagella,NA,yes,rod,chain,negative,57.5,1.65,0.6,7,20,0
AJ968651,other,facultative anaerobe,flagella,no,yes,rod,chain,negative,56.4,2.25,1.05,7,25,5.25
EF672088,soil,obligate aerobe,"motile, but unspecified structure",no,yes,rod,chain,negative,57.3,0.65,0.45,7,30,0
AB490810,other,anaerobic,non-motile,no,yes,rod,chain,negative,40.3,3.1,0.95,7,37.5,0
FJ230839,other,obligate aerobe,flagella,NA,yes,rod,chain,negative,58,1.3,0.7,7,27.5,3.5
AB500096,other,obligate aerobe,non-motile,NA,yes,rod,chain,negative,48.1,3.5,0.55,9,26.5,2.5
FN398053,seawater,obligate aerobe,flagella,NA,yes,rod,chain,negative,62.1,1.2,0.45,7,28,11
FM883694,other,facultative anaerobe,flagella,no,no,rod,NA,negative,29,NA,NA,4,37,0.5
FJ667549,food product,obligate aerobe,non-motile,NA,yes,rod,chain,negative,59.1,2.45,0.65,7,37,10
FJ969486,other,obligate aerobe,flagella,NA,yes,rod,chain,negative,66.1,2.15,1.3,7,30,0
FJ969487,other,obligate aerobe,flagella,NA,yes,rod,chain,negative,67.8,2.1,0.7,7,30,0
EU599214,other,facultative anaerobe,flagella,NA,yes,rod,chain,negative,40.3,0.85,0.45,7.5,15,5.5
FJ713802,freshwater sediment,facultative aerobe,flagella,NA,yes,rod,chain,negative,45.6,1.7,0.8,6.75,15,2.5
JX402080,hypersaline environment,obligate aerobe,flagella,yes,NA,rod,NA,positive,32.6,2.5,0.35,7.25,38.5,10.5
JN565849,bioreactor,obligate aerobe,flagella,NA,yes,ovoid/coccobacillus,NA,negative,68.5,3.25,3.5,7,40,0
KC525204,other,NA,NA,no,yes,rod,NA,NA,NA,NA,NA,NA,27.5,NA
HG315101,human - mouth,facultative anaerobe,non-motile,no,NA,cocci,chain,positive,40.8,NA,NA,NA,NA,NA
KC447383,plant associated,facultative anaerobe,flagella,yes,NA,rod,NA,variable,57.8,3,0.9,7,28,5
AB260934,other,facultative anaerobe,gliding,no,yes,rod,chain,negative,42.35,3.45,0.5,7,25,5
FN398101,other,obligate aerobe,non-motile,no,yes,rod,chain,negative,NA,2,1,7,30,0
FJ754320,other,obligate aerobe,non-motile,no,yes,rod,chain,negative,47.6,1.9,0.5,7,30,0
FJ754321,other,obligate aerobe,non-motile,no,yes,rod,chain,negative,48.6,3.1,0.35,7,30,0
AB490801,other,anaerobic,non-motile,no,yes,rod,chain,negative,45.3,1.8,0.75,7,37,0
AB490802,other,anaerobic,non-motile,no,yes,rod,chain,negative,45.2,1.75,1.2,7,37,0
AB490803,other,anaerobic,non-motile,no,yes,rod,chain,negative,43.6,28.2,1.45,7,37,0
EU516352,soil,obligate aerobe,non-motile,no,yes,ovoid/coccobacillus,chain,negative,40.9,2.45,0.75,7.65,29,4
FJ185225,other,obligate aerobe,non-motile,no,NA,rod,NA,positive,62,NA,NA,NA,37,NA
GQ181061,seawater,obligate aerobe,gliding,NA,yes,rod,chain,negative,35.3,1.65,0.45,NA,28,2
EU420070,plant associated,obligate aerobe,non-motile,yes,no,NA,NA,positive,71.1,NA,NA,6.5,23,NA
FM253687,other,anaerobic,"motile, but unspecified structure",NA,yes,rod,chain,negative,26.2,1.7,0.9,6,60,2.6
AB500145,other,obligate aerobe,non-motile,yes,yes,rod,chain,positive,54,1.5,0.85,7,50,0
EU005371,plant associated,obligate aerobe,non-motile,yes,no,NA,NA,positive,71.6,NA,NA,NA,28,2.5
DQ246623,other,obligate aerobe,non-motile,yes,no,NA,NA,positive,70.6,NA,NA,NA,NA,NA
B326358–,other,facultative anaerobe,NA,NA,yes,rod,chain,positive,37.2,3.05,0.5,7,37,10
AY749433,other,obligate aerobe,NA,yes,NA,NA,NA,positive,70.7,NA,NA,NA,NA,NA
AB495209,soil,NA,NA,yes,no,NA,NA,positive,73.2,NA,NA,NA,27.5,NA
AB471559,soil,obligate aerobe,NA,NA,yes,rod,NA,NA,71,0.9,0.35,NA,NA,NA
FJ182050,other,obligate aerobe,non-motile,yes,yes,rod,NA,positive,42.5,3,0.75,8,37,12.5
EU427463,other,anaerobic,non-motile,NA,no,cocci,NA,variable,NA,NA,0.5,NA,NA,NA
EU861362,other,obligate aerobe,"motile, but unspecified structure",yes,no,rod,NA,positive,35.6,5,1.25,7,30,NA
EU707796,other,obligate aerobe,non-motile,no,NA,cocci,clump,positive,36.6,NA,0.65,NA,33.5,NA
EU443729,freshwater,anaerobic,flagella,no,NA,rod,NA,positive,41,NA,NA,7,65,NA
FJ947528,other,anaerobic,non-motile,yes,NA,rod,NA,positive,44,NA,10,6,39,NA
AB245386,soil,facultative anaerobe,"motile, but unspecified structure",yes,yes,rod,NA,positive,52.1,4.5,0.75,NA,NA,NA
EF530202,other,obligate aerobe,flagella,no,yes,rod,NA,negative,66.9,1.4,0.4,7.5,28,1.5
EF457243,soil,obligate aerobe,non-motile,no,NA,rod,none,negative,63.1,1.35,0.75,7,30,NA
EF457242,other,obligate aerobe,non-motile,no,NA,rod,NA,negative,60.8,1.35,0.75,7,30,NA
DQ415656,hotspring,obligate aerobe,flagella,NA,yes,rod,none,negative,63,2.3,1.1,NA,NA,NA
DQ067422,hypersaline environment,anaerobic,NA,no,NA,rod,NA,negative,54.1,3,0.9,7,40,NA
FM210274,freshwater sediment,anaerobic,"motile, but unspecified structure",NA,yes,rod,NA,negative,71.4,4.5,0.8,8.25,32.5,2.25
FJ875966,marine sediment,obligate aerobe,non-motile,NA,yes,rod,NA,negative,68.2,2,0.75,7.75,30,2
EF552404,hotspring,anaerobic,non-motile,NA,no,cocci,NA,NA,37,NA,2,5.75,67.5,0
EU887284,other,obligate aerobe,"motile, but unspecified structure",NA,yes,ovoid/coccobacillus,NA,negative,61,NA,NA,6.75,37,21
FJ977567,soil,anaerobic,non-motile,NA,no,cocci,NA,negative,60.2,1.4,1.4,6.6,37,1.16
EU017546,soil,facultative anaerobe,NA,NA,yes,rod,NA,negative,61.2,1.3,0.45,7.2,30,4.5
AB495123,plant associated,obligate aerobe,non-motile,no,yes,rod,NA,negative,64,1.6,0.65,5,32,NA
FJ347758,other,obligate aerobe,"motile, but unspecified structure",NA,yes,rod,NA,negative,50,2,0.6,8,25,2.5
FJ426333,soil,obligate aerobe,non-motile,yes,yes,ovoid/coccobacillus,chain,positive,71,1.9,0.7,7,27.5,0.75
FJ374173,marine sediment,anaerobic,non-motile,NA,yes,rod,NA,negative,73.5,4.5,0.5,7.5,NA,2
FJ426332,soil,obligate aerobe,non-motile,yes,no,ovoid/coccobacillus,chain,positive,71,1.9,0.7,7,27.5,0.5
FJ532475,other,anaerobic,flagella,NA,NA,rod,NA,negative,36,1.25,0.4,7,55,NA
EU741680,hypersaline environment,obligate aerobe,flagella,NA,yes,rod,NA,NA,66.1,1.75,0.55,8.5,NA,3
NA,soil,obligate aerobe,NA,no,NA,ovoid/coccobacillus,none,NA,NA,10.5,5.75,NA,NA,NA
NA,other,NA,NA,no,NA,ovoid/coccobacillus,clump,NA,NA,6.6,2.59,NA,NA,NA
Notgiven,other,NA,NA,yes,yes,ovoid/coccobacillus,NA,NA,NA,NA,7.5,NA,NA,NA
Notgiven,human - skin,NA,NA,NA,yes,ovoid/coccobacillus,none,NA,NA,NA,5,NA,29,NA
EU483153,other,anaerobic,non-motile,NA,yes,cocci,chain,positive,NA,NA,0.55,NA,NA,NA
EU622978,other,obligate aerobe,non-motile,NA,yes,cocci,NA,positive,61,NA,1.45,7,30,0
EU622979,other,obligate aerobe,non-motile,NA,yes,cocci,NA,positive,59.3,NA,1.7,7,30,0
EU887283,other,obligate aerobe,"motile, but unspecified structure",NA,yes,ovoid/coccobacillus,NA,negative,55.7,1.5,1.5,7.5,37,22.62
