"t_number","org_code","aliases","full_name","definition","annotation","taxonomy","lineage","data_source","keywords","disease","comment","number_of_nucleotides","number_of_protein_genes","number_of_RNA_genes","created","type","detail","accession","length","accession2","tax_id"
"T03290","bxb","266265","Paraburkholderia xenovorans LB400","Paraburkholderia xenovorans LB400 (Burkholderia xenovorans LB400)","KOALA","TAX: 266265","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_000756045.1)            BioProject: 244540",NA,NA,NA,9702951,8631,82,2014,"Chromosome","2; Circular","CP008762",3363006,"CP008762","266265"
"T03290","bxb","266265","Paraburkholderia xenovorans LB400","Paraburkholderia xenovorans LB400 (Burkholderia xenovorans LB400)","KOALA","TAX: 266265","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_000756045.1)            BioProject: 244540",NA,NA,NA,9702951,8631,82,2014,"Chromosome","3; Circular","CP008761",1471816,"CP008761","266265"
"T00704","bph","BURP8, 391038","Paraburkholderia phymatum","Paraburkholderia phymatum STM815","manual","TAX: 391038","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_000020045.1)            BioProject: 17409","Plant endosymbiont",NA,"Isolated from a root nodule in French Guiana in 2000.",8676562,7496,81,2008,"Chromosome","1; Circular","CP001043",3479187,"CP001043","391038"
"T00704","bph","BURP8, 391038","Paraburkholderia phymatum","Paraburkholderia phymatum STM815","manual","TAX: 391038","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_000020045.1)            BioProject: 17409","Plant endosymbiont",NA,"Isolated from a root nodule in French Guiana in 2000.",8676562,7496,81,2008,"Chromosome","2; Circular","CP001044",2697374,"CP001044","391038"
"T00704","bph","BURP8, 391038","Paraburkholderia phymatum","Paraburkholderia phymatum STM815","manual","TAX: 391038","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_000020045.1)            BioProject: 17409","Plant endosymbiont",NA,"Isolated from a root nodule in French Guiana in 2000.",8676562,7496,81,2008,"Plasmid","pBPHY01; Circular","CP001045",1904893,"CP001045","391038"
"T00704","bph","BURP8, 391038","Paraburkholderia phymatum","Paraburkholderia phymatum STM815","manual","TAX: 391038","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_000020045.1)            BioProject: 17409","Plant endosymbiont",NA,"Isolated from a root nodule in French Guiana in 2000.",8676562,7496,81,2008,"Plasmid","pBPHY02; Circular","CP001046",595108,"CP001046","391038"
"T01355","brh","882378","Paraburkholderia rhizoxinica","Paraburkholderia rhizoxinica HKI 454","manual","TAX: 882378","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_000198775.1)            BioProject: 51915","Plant pathogen",NA,"Intracellular symbiont of the phytopathogenic fungus Rhizopus microsporus.            Not only delivers the antimitotic macrolide rhizoxin to its host but is also essential for vegetative spore formation of the fungus.",3750138,3870,55,2010,"Chromosome","Circular","FR687359",2755309,"FR687359","882378"
"T01355","brh","882378","Paraburkholderia rhizoxinica","Paraburkholderia rhizoxinica HKI 454","manual","TAX: 882378","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_000198775.1)            BioProject: 51915","Plant pathogen",NA,"Intracellular symbiont of the phytopathogenic fungus Rhizopus microsporus.            Not only delivers the antimitotic macrolide rhizoxin to its host but is also essential for vegetative spore formation of the fungus.",3750138,3870,55,2010,"Plasmid","pBRH01; Circular","FR687360",822304,"FR687360","882378"
"T01355","brh","882378","Paraburkholderia rhizoxinica","Paraburkholderia rhizoxinica HKI 454","manual","TAX: 882378","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_000198775.1)            BioProject: 51915","Plant pathogen",NA,"Intracellular symbiont of the phytopathogenic fungus Rhizopus microsporus.            Not only delivers the antimitotic macrolide rhizoxin to its host but is also essential for vegetative spore formation of the fungus.",3750138,3870,55,2010,"Plasmid","pBRH02; Circular","FR687361",172525,"FR687361","882378"
"T02300","bpx","1229205","Paraburkholderia phenoliruptrix","Paraburkholderia phenoliruptrix BR3459a (Burkholderia phenoliruptrix BR3459a)","KOALA","TAX: 1229205","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_000300095.1)            BioProject: 174166","Plant endosymbiont",NA,"Effective diazotrophic symbiont of the leguminous tree Mimosa flocculosa Burkart, which is endemic to South America.            Highly specific and effective in fixing nitrogen with the host species and is unusual in its capacity to grow in vitro at 40 deg C without losing its symbiotic properties.            Isolated from a root nodule of Mimosa flocculosa, endemic to southern South America.",7651131,6496,80,2012,"Chromosome","1; Circular","CP003863",4152217,"CP003863","1229205"
"T02300","bpx","1229205","Paraburkholderia phenoliruptrix","Paraburkholderia phenoliruptrix BR3459a (Burkholderia phenoliruptrix BR3459a)","KOALA","TAX: 1229205","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_000300095.1)            BioProject: 174166","Plant endosymbiont",NA,"Effective diazotrophic symbiont of the leguminous tree Mimosa flocculosa Burkart, which is endemic to South America.            Highly specific and effective in fixing nitrogen with the host species and is unusual in its capacity to grow in vitro at 40 deg C without losing its symbiotic properties.            Isolated from a root nodule of Mimosa flocculosa, endemic to southern South America.",7651131,6496,80,2012,"Chromosome","2; Circular","CP003864",2713495,"CP003864","1229205"
"T02300","bpx","1229205","Paraburkholderia phenoliruptrix","Paraburkholderia phenoliruptrix BR3459a (Burkholderia phenoliruptrix BR3459a)","KOALA","TAX: 1229205","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_000300095.1)            BioProject: 174166","Plant endosymbiont",NA,"Effective diazotrophic symbiont of the leguminous tree Mimosa flocculosa Burkart, which is endemic to South America.            Highly specific and effective in fixing nitrogen with the host species and is unusual in its capacity to grow in vitro at 40 deg C without losing its symbiotic properties.            Isolated from a root nodule of Mimosa flocculosa, endemic to southern South America.",7651131,6496,80,2012,"Plasmid","pSYMBR3459; Circular","CP003865",785419,"CP003865","1229205"
"T00765","bpy","BURPP, 398527","Paraburkholderia phytofirmans","Paraburkholderia phytofirmans PsJN (Burkholderia phytofirmans PsJN)","manual","TAX: 398527","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_000020125.1)            BioProject: 17463",NA,NA,"Isolated from Glomus vesiculiferum-infected onion roots.",8214658,7241,82,2008,"Chromosome","1; Circular","CP001052",4467537,"CP001052","398527"
"T00765","bpy","BURPP, 398527","Paraburkholderia phytofirmans","Paraburkholderia phytofirmans PsJN (Burkholderia phytofirmans PsJN)","manual","TAX: 398527","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_000020125.1)            BioProject: 17463",NA,NA,"Isolated from Glomus vesiculiferum-infected onion roots.",8214658,7241,82,2008,"Chromosome","2; Circular","CP001053",3625999,"CP001053","398527"
"T00765","bpy","BURPP, 398527","Paraburkholderia phytofirmans","Paraburkholderia phytofirmans PsJN (Burkholderia phytofirmans PsJN)","manual","TAX: 398527","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_000020125.1)            BioProject: 17463",NA,NA,"Isolated from Glomus vesiculiferum-infected onion roots.",8214658,7241,82,2008,"Plasmid","pBPHYT01; Circular","CP001054",121122,"CP001054","398527"
"T03799","bfn","134537","Paraburkholderia fungorum","Paraburkholderia fungorum ATCC BAA-463 (Burkholderia fungorum ATCC BAA-463)","KOALA","TAX: 134537","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_000961515.1)            BioProject: 265859",NA,NA,NA,9058983,8174,81,2015,"Chromosome","1; Circular","CP010026",4463161,"CP010026","134537"
"T03799","bfn","134537","Paraburkholderia fungorum","Paraburkholderia fungorum ATCC BAA-463 (Burkholderia fungorum ATCC BAA-463)","KOALA","TAX: 134537","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_000961515.1)            BioProject: 265859",NA,NA,NA,9058983,8174,81,2015,"Chromosome","2; Circular","CP010027",3508455,"CP010027","134537"
"T03799","bfn","134537","Paraburkholderia fungorum","Paraburkholderia fungorum ATCC BAA-463 (Burkholderia fungorum ATCC BAA-463)","KOALA","TAX: 134537","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_000961515.1)            BioProject: 265859",NA,NA,NA,9058983,8174,81,2015,"Chromosome","3; Circular","CP010025",650149,"CP010025","134537"
"T03799","bfn","134537","Paraburkholderia fungorum","Paraburkholderia fungorum ATCC BAA-463 (Burkholderia fungorum ATCC BAA-463)","KOALA","TAX: 134537","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_000961515.1)            BioProject: 265859",NA,NA,NA,9058983,8174,81,2015,"Plasmid","pBIL; Circular","CP010024",437218,"CP010024","134537"
"T04141","bcai","1323664","Paraburkholderia caribensis","Paraburkholderia caribensis MBA4 (Burkholderia caribensis MBA4)","KOALA","TAX: 1323664","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_000522545.2)            BioProject: 197459",NA,NA,"Isolated from soil.",9482704,9056,80,2016,"Chromosome","1; Circular","CP012746",3575012,"CP012746","1323664"
"T04141","bcai","1323664","Paraburkholderia caribensis","Paraburkholderia caribensis MBA4 (Burkholderia caribensis MBA4)","KOALA","TAX: 1323664","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_000522545.2)            BioProject: 197459",NA,NA,"Isolated from soil.",9482704,9056,80,2016,"Chromosome","2; Circular","CP012747",3352623,"CP012747","1323664"
"T04141","bcai","1323664","Paraburkholderia caribensis","Paraburkholderia caribensis MBA4 (Burkholderia caribensis MBA4)","KOALA","TAX: 1323664","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_000522545.2)            BioProject: 197459",NA,NA,"Isolated from soil.",9482704,9056,80,2016,"Plasmid","unnamed; Circular","CP012748",2555069,"CP012748","1323664"
"T04610","pspw","754502","Paraburkholderia sprentiae","Paraburkholderia sprentiae WSM5005","KOALA","TAX: 754502","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_001865575.1)            BioProject: 344837",NA,NA,NA,7829542,6701,93,2017,"Chromosome","1; Circular","CP017561",3645501,"CP017561","754502"
"T04610","pspw","754502","Paraburkholderia sprentiae","Paraburkholderia sprentiae WSM5005","KOALA","TAX: 754502","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_001865575.1)            BioProject: 344837",NA,NA,NA,7829542,6701,93,2017,"Chromosome","2; Circular","CP017562",2657711,"CP017562","754502"
"T04610","pspw","754502","Paraburkholderia sprentiae","Paraburkholderia sprentiae WSM5005","KOALA","TAX: 754502","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_001865575.1)            BioProject: 344837",NA,NA,NA,7829542,6701,93,2017,"Plasmid","pl1WSM5005; Circular","CP017563",996314,"CP017563","754502"
"T04610","pspw","754502","Paraburkholderia sprentiae","Paraburkholderia sprentiae WSM5005","KOALA","TAX: 754502","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_001865575.1)            BioProject: 344837",NA,NA,NA,7829542,6701,93,2017,"Plasmid","pl2WSM5005; Circular","CP017565",438974,"CP017565","754502"
"T04610","pspw","754502","Paraburkholderia sprentiae","Paraburkholderia sprentiae WSM5005","KOALA","TAX: 754502","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_001865575.1)            BioProject: 344837",NA,NA,NA,7829542,6701,93,2017,"Plasmid","pl3WSM5005; Circular","CP017564",91042,"CP017564","754502"
"T04966","para","1926494","Paraburkholderia sp. SOS3","Paraburkholderia sp. SOS3","KOALA","TAX: 1926494","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_001922345.1)            BioProject: 357122",NA,NA,NA,7502907,6452,75,2017,"Chromosome","1; Circular","CP018811",4483385,"CP018811","1926494"
"T04966","para","1926494","Paraburkholderia sp. SOS3","Paraburkholderia sp. SOS3","KOALA","TAX: 1926494","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_001922345.1)            BioProject: 357122",NA,NA,NA,7502907,6452,75,2017,"Chromosome","2; Circular","CP018812",2991945,"CP018812","1926494"
"T04966","para","1926494","Paraburkholderia sp. SOS3","Paraburkholderia sp. SOS3","KOALA","TAX: 1926494","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia","GenBank (Assembly: GCA_001922345.1)            BioProject: 357122",NA,NA,NA,7502907,6452,75,2017,"Plasmid","unnamed1; Circular","CP018813",27577,"CP018813","1926494"
"T00502","pnu","POLSQ, 312153","Polynucleobacter asymbioticus","Polynucleobacter asymbioticus QLW-P1DMWA-1 (Polynucleobacter sp. QLW-P1DMWA-1) (Polynucleobacter necessarius subsp. asymbioticus QLW-P1DMWA-1)","manual","TAX: 312153","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Polynucleobacter","GenBank (Assembly: GCA_000016345.1)            BioProject: 16679",NA,NA,"Isolated from a small acidic pond located at an altitude of 1,300 meters in the Austrian Alps near the city of Salzburg.",2159490,2077,44,2007,"Chromosome","Circular","CP000655",2159490,"CP000655","312153"
"T00683","pne","POLNS, 452638","Polynucleobacter necessarius subsp. necessarius","Polynucleobacter necessarius subsp. necessarius STIR1","manual","TAX: 452638","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Polynucleobacter","GenBank (Assembly: GCA_000019745.1)            BioProject: 19991",NA,NA,NA,1560469,1508,44,2008,"Chromosome","Circular","CP001010",1560469,"CP001010","452638"
"T04207","pdq","1835254","Polynucleobacter duraquae","Polynucleobacter duraquae","KOALA","TAX: 1835254","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Polynucleobacter","GenBank (Assembly: GCA_000973625.1)            BioProject: 240713",NA,NA,NA,2026292,2059,45,2016,"Chromosome","Circular","CP007501",2026292,"CP007501","1835254"
"T02936","ppk","1416914","Pandoraea pnomenusa 3kgm","Pandoraea pnomenusa 3kgm","KOALA","TAX: 1416914","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Pandoraea","GenBank (Assembly: GCA_000590495.2)            BioProject: 226227",NA,NA,"Isolated from a soil sample obtained from an ex-landfill site in Puchong, Malaysia.",5429298,4251,79,2013,"Chromosome","Circular","CP006900",5429298,"CP006900","1416914"
"T03067","ppno","93220","Pandoraea pnomenusa RB38","Pandoraea pnomenusa RB38","KOALA","TAX: 93220","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Pandoraea","GenBank (Assembly: GCA_000604065.1)            BioProject: 242373",NA,NA,"Isolated from a former sanitary landfill site.",5378872,4640,80,2014,"Chromosome","Circular","CP007506",5378872,"CP007506","93220"
"T03411","ppnm","93220","Pandoraea pnomenusa DSM 16536","Pandoraea pnomenusa DSM 16536","KOALA","TAX: 93220","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Pandoraea","GenBank (Assembly: GCA_000767615.3)            BioProject: 261997",NA,NA,"Isolated from the sputum of a cystic fibrosis patient originating from Edinburgh, United Kingdom.",5389285,4586,78,2014,"Chromosome","Circular","CP009553",5389285,"CP009553","93220"
"T02950","prb","93220","Pandoraea pnomenusa","Pandoraea pnomenusa (Pandoraea sp. RB-44)","KOALA","TAX: 93220","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Pandoraea","GenBank (Assembly: GCA_000504585.2)            BioProject: 230133",NA,NA,"Isolated from an exlandfill dumping ground.",5385946,4646,81,2013,"Chromosome","Circular","CP006938",5385946,"CP006938","93220"
"T03553","ppul","93221","Pandoraea pulmonicola","Pandoraea pulmonicola DSM 16583","KOALA","TAX: 93221","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Pandoraea","GenBank (Assembly: GCA_000815105.2)            BioProject: 270151",NA,NA,NA,5867621,4868,91,2015,"Chromosome","Circular","CP010310",5867621,"CP010310","93221"
